Date,Open,High,Low,Close,Volume
2022-04-21,0.88,0.95,0.85,0.95,55032
2022-04-22,0.9338,1.0,0.88,1.0,63430
2022-04-25,0.99,0.99,0.85,0.895,84883
2022-04-26,0.88,0.98,0.88,0.961851,98466
2022-04-27,0.9392,1.04,0.92,0.99,139966
2022-04-28,0.9801,1.0405,0.98,1.04,48057
2022-04-29,1.0,1.05,1.0,1.02,59553
2022-05-02,1.02,1.04,0.9601,1.02,66861
2022-05-03,0.9894,1.04,0.91,0.91,102424
2022-05-04,0.924,0.948,0.86505,0.92,54701
2022-05-05,0.89,0.948,0.86,0.91,35417
2022-05-06,0.88,0.9495,0.8601,0.8601,80087
2022-05-09,0.89,0.89,0.8,0.8101,75572
2022-05-10,0.8101,0.86,0.785,0.81,63798
2022-05-11,0.7944,0.799999,0.707,0.73,117282
2022-05-12,0.7081,0.7908,0.7081,0.754151,83007
2022-05-13,0.738,0.797,0.738,0.782499,41109
2022-05-16,0.8313,0.8917,0.81,0.856801,49128
2022-05-17,0.8307,0.9499,0.8307,0.9,21372
2022-05-18,0.811,0.91,0.811,0.8501,15414
2022-05-19,0.8596,0.91,0.814,0.9,30633
2022-05-20,0.8567,0.8922,0.8,0.86,45338
2022-05-23,0.89,0.91,0.7,0.7107,224213
2022-05-24,0.7463,0.7463,0.670351,0.68,132537
2022-05-25,0.6696,0.723,0.6696,0.705,33653
2022-05-26,0.74,0.74,0.6644,0.6688,55139
2022-05-27,0.7,0.715,0.66,0.66005,108408
2022-05-31,0.66,0.6667,0.6022,0.6645,200582
2022-06-01,0.7,0.776999,0.68,0.7198,370684
2022-06-02,0.6982,0.7994,0.6517,0.7902,91806
2022-06-03,0.82,0.91,0.76,0.78,98350
2022-06-06,0.8362,0.8688,0.7,0.8098,117140
2022-06-07,0.8,0.83,0.699899,0.7325,60633
2022-06-08,0.8215,0.836,0.7539,0.7935,266554
2022-06-09,0.84,0.9436,0.79,0.81,220396
2022-06-10,0.81,0.83,0.7611,0.7611,74845
2022-06-13,0.8266,0.828099,0.7,0.7799,108199
2022-06-14,0.78,0.91,0.7649,0.8123,196784
2022-06-15,0.8122,0.823,0.795,0.82,46838
2022-06-16,0.7901,0.84,0.77,0.8333,35422
2022-06-17,0.812,0.8299,0.79,0.8,39577
2022-06-21,0.7887,0.853101,0.7887,0.845,47158
2022-06-22,0.81,0.8517,0.7955,0.84089,45018
2022-06-23,0.81,0.84,0.8,0.8308,12393
2022-06-24,0.8033,0.87,0.7922,0.815,25421
2022-06-27,0.784,0.842,0.784,0.815,32386
2022-06-28,0.78,0.814999,0.76,0.7707,81101
2022-06-29,0.77,0.8097,0.6686,0.75,124936
2022-06-30,0.7275,0.7634,0.71,0.7455,49046
2022-07-01,0.72,0.766,0.69,0.71,43855
2022-07-05,0.69,0.8,0.69,0.8,59347
2022-07-06,0.8,0.81,0.76,0.81,80229
2022-07-07,0.7857,0.82,0.76,0.82,63464
2022-07-08,0.82,0.850001,0.8004,0.83,50918
2022-07-11,0.7917,0.848906,0.76,0.831001,59654
2022-07-12,0.88,0.88,0.8225,0.8225,65885
2022-07-13,0.8,0.87,0.78,0.78,32566
2022-07-14,0.7581,0.8319,0.6587,0.6942,77970
2022-07-15,0.6955,0.7699,0.6955,0.739949,105340
2022-07-18,0.7101,0.7801,0.7101,0.7697,70840
2022-07-19,0.7799,0.78802,0.7108,0.77,39102
2022-07-20,0.7142,0.771001,0.7142,0.7203,50258
2022-07-21,0.758249,0.79,0.7352,0.7606,28890
2022-07-22,0.78,0.78,0.7503,0.76,18362
2022-07-25,0.74,0.7889,0.73,0.7301,22389
2022-07-26,0.7301,0.7666,0.7301,0.7302,3358
2022-07-27,0.73,0.7898,0.73,0.7391,32850
2022-07-28,0.734296,0.77,0.73,0.758499,4897
2022-07-29,0.75,0.75,0.7029,0.7312,45052
2022-08-01,0.7246,0.7524,0.7,0.7524,28276
2022-08-02,0.7453,0.749,0.7158,0.7207,24358
2022-08-03,0.7269,0.75,0.7259,0.726,12032
2022-08-04,0.7467,0.78,0.7101,0.78,30044
2022-08-05,0.7101,0.78,0.7101,0.7602,30784
2022-08-08,0.77,0.7777,0.7141,0.73,20622
2022-08-09,0.7263,0.755743,0.71,0.7299,7468
2022-08-10,0.7153,0.74,0.67,0.7075,46873
2022-08-11,0.7044,0.75,0.7044,0.7151,23332
2022-08-12,0.7151,0.740799,0.67,0.6701,85492
2022-08-15,0.7039,0.75,0.69,0.75,49158
2022-08-16,0.75,0.7501,0.7113,0.7385,66607
2022-08-17,0.7612,0.77,0.73,0.73,60002
2022-08-18,0.717,0.749899,0.7,0.734,49479
2022-08-19,0.7119,0.759899,0.7119,0.759899,75195
2022-08-22,0.73,0.7542,0.7101,0.711301,42990
2022-08-23,0.69,0.739999,0.69,0.715,32063
2022-08-24,0.75,0.7699,0.7058,0.7699,128852
2022-08-25,0.78,0.8158,0.7501,0.8158,74456
2022-08-26,0.9,0.9099,0.73,0.75,72928
2022-08-29,0.769899,0.769899,0.73,0.7429,31929
2022-08-30,0.74,0.743,0.73,0.7377,29247
2022-08-31,0.743,0.77,0.73,0.77,33128
2022-09-01,0.745,0.745,0.735,0.735,18529
2022-09-02,0.75,0.75,0.7301,0.733,24501
2022-09-06,0.7101,0.7307,0.7101,0.725,36176
2022-09-07,0.73,0.754899,0.7101,0.7524,43375
2022-09-08,0.7599,0.7699,0.7556,0.7635,108804
2022-09-09,0.83,0.83,0.78,0.7914,42344
2022-09-12,0.785,0.8299,0.785,0.8,6484
2022-09-13,0.785,0.79616,0.7544,0.7799,38948
2022-09-14,0.76,0.8,0.75,0.8,44939
2022-09-15,0.83,0.83,0.75,0.8299,50744
2022-09-16,0.83,0.83,0.55,0.55,188636
2022-09-19,0.6205,0.72,0.6152,0.6862,341618
2022-09-20,0.72,0.72,0.6163,0.7099,66591
2022-09-21,0.7005,0.8,0.7005,0.78,127197
2022-09-22,0.7566,0.8485,0.7501,0.81,140587
2022-09-23,0.84,0.84,0.755,0.78,69553
2022-09-26,0.7784,0.8,0.73,0.7753,29507
2022-09-27,0.781,0.785,0.7215,0.741,35407
2022-09-28,0.74,0.789839,0.73,0.7723,90387
2022-09-29,0.7667,0.78,0.752,0.78,19635
2022-09-30,0.763,0.78,0.7361,0.78,40277
2022-10-03,0.741,0.7798,0.739,0.7405,40218
2022-10-04,0.7538,0.79,0.75,0.7847,9942
2022-10-05,0.7848,0.7848,0.7258,0.751,13824
2022-10-06,0.78,0.78,0.7305,0.7575,16497
2022-10-07,0.763,0.78,0.71,0.78,24017
2022-10-10,0.71,0.7795,0.71,0.7576,37001
2022-10-11,0.73,0.759999,0.7158,0.7404,12683
2022-10-12,0.7443,0.78,0.711,0.7255,39286
2022-10-13,0.756,0.775,0.72,0.75,22297
2022-10-14,0.725,0.7398,0.7103,0.7359,21275
2022-10-17,0.71,0.7295,0.6909,0.7102,49447
2022-10-18,0.7,0.75,0.67005,0.72,73419
2022-10-19,0.6984,0.75,0.6736,0.7327,61419
2022-10-20,0.75,0.75,0.67,0.7301,51483
2022-10-21,0.74,0.74,0.68,0.7235,82577
2022-10-24,0.725,0.7265,0.68,0.7227,34337
2022-10-25,0.74,0.74,0.7,0.7336,30651
2022-10-26,0.735,0.735,0.7,0.7199,21087
2022-10-27,0.72,0.72,0.699,0.7149,41409
2022-10-28,0.72,0.72,0.6299,0.7016,97373
2022-10-31,0.699,0.7051,0.69,0.695,44331
2022-11-01,0.71,0.71,0.6,0.685,45117
2022-11-02,0.68,0.69,0.6068,0.69,97692
2022-11-03,0.688399,0.6923,0.6,0.6696,66635
2022-11-04,0.65,0.6892,0.6,0.6795,53803
2022-11-07,0.67,0.6865,0.65,0.6575,81749
2022-11-08,0.63,0.675,0.63,0.6569,37269
2022-11-09,0.665,0.665,0.615101,0.62,33375
2022-11-10,0.64,0.7315,0.62912,0.69,109625
2022-11-11,0.66,0.716699,0.65,0.6928,52426
